Date,App,Ad_Group,State,Revenue,Ad_Requests,Ad_Responses,Fill_Rate,Impressions,Render_Rate,1st_Clicks,2nd_Clicks
08-09-2020,(SDK X) Cricket Mazza ,Cricket Mazza Banner (AdX),Unresolved,0,3932330,3926253,99.9,3849749,98.1,10199,0
08-09-2020,(SDK X) Cricket Mazza ,320x50,Unresolved,0,3932330,119,99.9,118,99.2,2,2
08-09-2020,(SDK X) Cricket Mazza ,Dream11_320x50,Unresolved,0,3932330,96,99.9,93,96.9,2,2
08-09-2020,(SDK X) Cricket Mazza ,My11_320x50,Unresolved,0,3932330,111,99.9,110,99.1,2,2
06-09-2020,(SDK X) Cricket Mazza ,Cricket Mazza Banner (AdX),Unresolved,0,3839002,3834328,99.9,3785127,98.7,9492,0
06-09-2020,(SDK X) Cricket Mazza ,320x50,Unresolved,0,3839002,101,99.9,101,100,0,0
06-09-2020,(SDK X) Cricket Mazza ,Dream11_320x50,Unresolved,0,3839002,126,99.9,121,96,1,1
06-09-2020,(SDK X) Cricket Mazza ,My11_320x50,Unresolved,0,3839002,115,99.9,111,96.5,1,1
06-09-2020,Callbreak Multiplayer,Rummy77,Uttar Pradesh,0,3702040,245485,100,227097,92.5,1464,410
06-09-2020,Callbreak Multiplayer,New creative,Uttar Pradesh,1.32,3702040,246124,100,227170,92.3,1583,396
06-09-2020,Callbreak Multiplayer,creative_aug,Uttar Pradesh,0.66,3702040,245981,100,227060,92.3,1535,369
06-09-2020,Callbreak Multiplayer,Nov New,Uttar Pradesh,2.64,3702040,245851,100,226895,92.3,1452,365
06-09-2020,Callbreak Multiplayer,revshare,Uttar Pradesh,0,3702040,5,100,4,80,0,0
06-09-2020,Callbreak Multiplayer,Rooter_Callbreak,Uttar Pradesh,0.52,3702040,190575,100,177858,93.3,1064,1049
06-09-2020,Callbreak Multiplayer,Callbreak Multiplayer2_Inmobi_No Floor,Uttar Pradesh,1.37,3702040,18797,100,14648,77.93,384,120
06-09-2020,Callbreak Multiplayer,Dream11_NonCore,Uttar Pradesh,1.83,3702040,1521221,100,1405064,92.4,8968,2258
06-09-2020,Callbreak Multiplayer,MY11Circle_IN_SG_1500,Uttar Pradesh,1.84,3702040,493308,100,432500,87.67,8197,2659
06-09-2020,Callbreak Multiplayer,IPL banner,Uttar Pradesh,0,3702040,494527,100,425268,85.99,7522,2400
06-09-2020,Callbreak Multiplayer,RC_MH_Stock_Marathi,Uttar Pradesh,0,3702040,23,100,17,73.91,0,0
06-09-2020,Callbreak Multiplayer,RC_MH_English,Uttar Pradesh,0,3702040,30,100,21,70,0,0
06-09-2020,Callbreak Multiplayer,non stop fun,Uttar Pradesh,0,3702040,21,100,16,76.19,0,0
06-09-2020,Callbreak Multiplayer,Logo without name,Uttar Pradesh,0,3702040,26,100,20,76.92,1,0
06-09-2020,Callbreak Multiplayer,logo with name,Uttar Pradesh,0,3702040,25,100,22,88,0,0
06-09-2020,Callbreak Multiplayer,RC_TN_ENG,Uttar Pradesh,0,3702040,1,100,1,100,0,0
06-09-2020,Callbreak Multiplayer,Satishsolo_Tamil,Uttar Pradesh,0,3702040,1,100,1,100,0,0
06-09-2020,Callbreak Multiplayer,Satishsolo_Eng,Uttar Pradesh,0,3702040,1,100,1,100,0,0
06-09-2020,Callbreak Multiplayer,non stop fun,Uttar Pradesh,0,3702040,4,100,4,100,0,0
06-09-2020,Callbreak Multiplayer,Danish&satish,Uttar Pradesh,0,3702040,2,100,2,100,0,0
06-09-2020,Callbreak Multiplayer,DanishSolo_English,Uttar Pradesh,0,3702040,2,100,1,50,0,0
06-09-2020,Callbreak Multiplayer,Danishsolo_Kan,Uttar Pradesh,0,3702040,3,100,2,66.7,0,0
06-09-2020,Callbreak Multiplayer,Gujrati_GL,Uttar Pradesh,0,3702040,7,100,7,100,0,0
